model,experiment_group,method,train_dataset,validation_dataset,test_dataset,metric_scale,train_precision,train_recall,train_dice,train_iou,validation_precision,validation_recall,validation_dice,validation_iou,best_epoch,test_dice,test_iou,test_patch_dice,test_patch_iou,test_patch_precision,test_patch_recall,test_status,data_quality_note,source_file,source_row
UDeepCrack,static_loss_ablation,CE,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.9343,0.5044,0.6551,0.4871,0.7164,0.6093,0.6585,0.4909,39,0.3664,0.2717,0.3712,0.2773,,,available_in_source,,Crack_results - Full results.csv,4
UDeepCrack,static_loss_ablation,DICE,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.7973,0.8043,0.8008,0.6678,0.6461,0.7387,0.6893,0.5259,59,0.3958,0.2941,0.4041,0.3028,,,available_in_source,,Crack_results - Full results.csv,5
UDeepCrack,static_loss_ablation,IoU,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.7902,0.7712,0.7806,0.6401,0.7053,0.6957,0.7005,0.539,11,0.3989,0.2965,0.4111,0.3078,,,available_in_source,,Crack_results - Full results.csv,6
UDeepCrack,static_loss_ablation,Focal,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.9016,0.5688,0.6975,0.5355,0.7378,0.6183,0.6728,0.5069,38,0.3816,0.2837,0.39,0.2917,,,available_in_source,,Crack_results - Full results.csv,7
UDeepCrack,static_loss_ablation,Dice+CE,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.8338,0.7843,0.8083,0.6783,0.6656,0.7574,0.7086,0.5487,73,0.3991,0.2975,0.4049,0.3046,,,available_in_source,,Crack_results - Full results.csv,8
UDeepCrack,static_loss_ablation,DICE+IoU,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.7876,0.7618,0.7745,0.632,0.698,0.7048,0.7014,0.5401,45,0.3885,0.2873,0.3959,0.2954,,,available_in_source,,Crack_results - Full results.csv,9
UDeepCrack,static_loss_ablation,Dice+Focal,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.8053,0.7772,0.791,0.6543,0.6652,0.7472,0.7038,0.543,39,0.2633,0.3509,0.3685,0.3966,,,available_in_source,source test metrics are internally inconsistent: test IoU > test Dice; values preserved as provided; source patch test metrics are internally inconsistent: patch IoU > patch Dice; values preserved as provided,Crack_results - Full results.csv,10
UDeepCrack,static_loss_ablation,CE+Focal,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.9297,0.5757,0.7111,0.5517,0.7075,0.6285,0.6657,0.4989,61,0.3675,0.2733,0.3718,0.2787,,,available_in_source,,Crack_results - Full results.csv,11
UDeepCrack,static_loss_ablation,CE+IOU,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.8407,0.7763,0.8073,0.6768,0.6932,0.7307,0.7115,0.5522,72,0.3778,0.2815,0.3823,0.2873,,,available_in_source,,Crack_results - Full results.csv,12
UDeepCrack,static_loss_ablation,IOU+FOCAL,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.8187,0.7798,0.7988,0.665,0.7094,0.7117,0.7106,0.5511,50,0.3944,0.2927,0.4039,0.3022,,,available_in_source,,Crack_results - Full results.csv,13
UDeepCrack,static_loss_ablation,CE + DICE + IoU,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.8336,0.7971,0.815,0.6877,0.6644,0.7627,0.7102,0.5506,90,0.3799,0.2824,0.3859,0.2889,,,available_in_source,,Crack_results - Full results.csv,14
UDeepCrack,static_loss_ablation,CE + IOU + FOCAL,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.8377,0.7703,0.8026,0.6703,0.6732,0.7532,0.711,0.5515,59,0.3787,0.2827,0.3905,0.2935,,,available_in_source,,Crack_results - Full results.csv,15
UDeepCrack,static_loss_ablation,CE+DICE+IOU+FOCAL,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.822,0.7685,0.7943,0.6588,0.7673,0.705,0.71,0.5504,48,0.4039,0.2991,0.4088,0.3058,,,available_in_source,,Crack_results - Full results.csv,16
UDeepCrack,static_loss_ablation,CE+DICE+IoU+Focal+Connectivity+Boundary,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.8263,0.7725,0.7985,0.6646,0.6807,0.7415,0.7098,0.5501,58,0.3938,0.293,0.3977,0.2985,,,available_in_source,"source train_recall '7725' interpreted as 77.25% (0.7725), likely missing decimal point",Crack_results - Full results.csv,17
UDeepCrack,static_loss_ablation,Boundary +BCE +Dice,UDTIRI-Crack,UDTIRI-Crack,OmniCrack30K,0-1,0.8327,0.7788,0.8049,0.6735,0.6986,0.722,0.7101,0.5505,58,0.3601,0.2681,0.3655,0.274,,,available_in_source,,Crack_results - Full results.csv,18
